iter	Recall	Logloss
266	0.6842796169	0.5369069366
267	0.6842951828	0.5368753325
268	0.6843065977	0.53680874
269	0.6843003714	0.5367745468
270	0.6843200882	0.5367295726
271	0.6843698989	0.536699656
272	0.6843750876	0.5366476622
273	0.6843979175	0.5365970379
274	0.6844321624	0.5365679047
275	0.6844933881	0.5365169898
276	0.6845525384	0.5364739132
277	0.6845566893	0.5364366235
278	0.684580557	0.5363893662
279	0.6846116887	0.5363573086
280	0.6846542354	0.5363138556
281	0.6847289516	0.536276037
282	0.684753857	0.5362404902
283	0.684742442	0.5362108692
284	0.6847714983	0.5361677892
285	0.6847621588	0.5361373309
286	0.6848565917	0.5360656062
287	0.6848949875	0.5360111296
288	0.684885648	0.5359766666
289	0.6848981007	0.53594117
290	0.6849105533	0.53590271
291	0.6849084779	0.5358612402
292	0.6849987599	0.5357953593
293	0.6850101749	0.5357560312
294	0.6849416851	0.5357075064
295	0.6849614018	0.535635123
296	0.6850143258	0.535597332
297	0.685047533	0.5355497885
298	0.6850319671	0.5355148851
299	0.6851544186	0.5354666269
300	0.6852146066	0.5354287379
301	0.6852208329	0.5353822024
302	0.6852664928	0.5353494665
303	0.685281021	0.5353090238
304	0.6852851719	0.5352638345
305	0.6852685683	0.5352227641
306	0.6853007377	0.5351946937
307	0.6853090395	0.5351637336
308	0.6852768701	0.5351282918
309	0.6852675305	0.5350956905
310	0.6852322479	0.5350555476
311	0.6852830964	0.5350178882
312	0.6853401712	0.5349834192
313	0.6853868688	0.5349453231
314	0.6854024347	0.534913344
315	0.685371303	0.5348688689
316	0.685389982	0.5348307989
317	0.6853941329	0.534797559
318	0.6854325287	0.5347700006
319	0.6854346042	0.5347417207
320	0.6854512078	0.5347064111
321	0.6854947922	0.5346756865
322	0.6854958299	0.5346382409
323	0.6855363012	0.5346013172
324	0.6855321503	0.5345720642
325	0.6855093203	0.5345305139
326	0.6855363012	0.5344950994
327	0.6855996023	0.5344537984
328	0.6855601688	0.5344175214
329	0.685551867	0.534380011
330	0.6855383766	0.5343518587
331	0.6855601688	0.5343151784
332	0.6855539425	0.5342912856
333	0.6855684706	0.5342548437
334	0.6855601688	0.5342213175
335	0.6856213946	0.534163192
336	0.6856338472	0.5341316801
337	0.6856784694	0.5340874488
338	0.6857033748	0.5340524159
339	0.6857241293	0.5340245291
340	0.685725167	0.533988027
341	0.6858019586	0.5339546911
342	0.6858310149	0.5339182862
343	0.6859005424	0.5338833991
344	0.6858735616	0.5338502781
345	0.6859347873	0.5338105006
346	0.6859181837	0.5337851257
347	0.6858974292	0.5337569363
348	0.6859067688	0.5337335527
349	0.6859742209	0.5337016012
350	0.6859679945	0.5336725014
351	0.6860344089	0.5336341849
352	0.6860437484	0.5335962621
353	0.6860925214	0.5335708122
354	0.6860748801	0.533545551
355	0.6860914837	0.533514467
356	0.686109125	0.5334861979
357	0.6861495963	0.5334633815
358	0.6861464831	0.5334423789
359	0.686139219	0.5333988476
360	0.6861610112	0.5333782603
361	0.6861796903	0.5333364345
362	0.686199407	0.5333084084
363	0.6862035579	0.5332665426
364	0.6862118597	0.533241438
365	0.686199407	0.5332112647
366	0.6862419537	0.5331802105
367	0.6862243124	0.5331613027
368	0.6862720478	0.5331289242
369	0.6862554442	0.5331138064
370	0.6862429915	0.5330811739
371	0.6863135567	0.5330226945
372	0.6863166699	0.532991017
373	0.686331198	0.5329636259
374	0.6864007256	0.5329367381
375	0.6863965747	0.5329107071
376	0.6863861974	0.5328773571
377	0.6864339328	0.5328463544
378	0.6864225178	0.5328139952
379	0.6864038388	0.5327926109
380	0.6864391214	0.5327657984
381	0.6864017633	0.5327296169
382	0.6864702531	0.532692711
383	0.6865262902	0.5326560331
384	0.6864878944	0.5326275
385	0.6864484609	0.5325963033
386	0.6864505363	0.5325753974
387	0.6864640268	0.5325534496
388	0.6864349705	0.5325323067
389	0.6864650645	0.5325075595
390	0.6864494986	0.5324772801
391	0.6864505363	0.5324473201
392	0.686515913	0.5324321782
393	0.6865190262	0.5324038447
394	0.6865439315	0.5323768689
395	0.6865802519	0.5323472742
396	0.6865594974	0.5323276614
397	0.6866051573	0.5323029545
398	0.6865833651	0.5322807863
399	0.6865781764	0.5322579287
400	0.6865864782	0.532230477
401	0.6866279872	0.5321907705
402	0.6866227986	0.5321686866
403	0.6866912884	0.5321451485
404	0.6867556273	0.5321172269
405	0.6867483632	0.5320815058
406	0.6867556273	0.5320505442
407	0.6868230794	0.5320244701
408	0.6867587405	0.5319821252
409	0.6867597782	0.5319565398
410	0.6867909099	0.5319270429
411	0.6868012872	0.5319084217
412	0.6867960986	0.5318745085
413	0.6868241171	0.5318510881
414	0.6869092105	0.5318220221
415	0.6869102483	0.5318010006
416	0.6869029842	0.5317791706
417	0.6869247764	0.5317569838
418	0.6869310027	0.5317290673
419	0.6869361914	0.5317088829
420	0.686990153	0.5316530829
421	0.6870067566	0.5316210544
422	0.6870254357	0.5315834644
423	0.6870441147	0.5315481719
424	0.6870524165	0.5315256534
425	0.687121944	0.5314953767
426	0.6871686416	0.5314632245
427	0.6871510003	0.5314270923
428	0.6871260949	0.531403296
429	0.6871167554	0.5313744128
430	0.6872589237	0.5313358488
431	0.6872744895	0.5313107506
432	0.6872412823	0.5312727774
433	0.6872226033	0.5312471796
434	0.6872226033	0.5312216917
435	0.6872080752	0.5311945262
436	0.6872859045	0.5311636286
437	0.6872973195	0.5311268355
438	0.6873149608	0.5311066842
439	0.6873149608	0.5310805417
440	0.6873191117	0.5310577602
441	0.6873357153	0.5310345305
442	0.6873450548	0.5310064784
443	0.6873637338	0.5309804978
444	0.6873512811	0.5309607418
445	0.6873263757	0.5309421113
446	0.6873274135	0.5309183927
447	0.6873564697	0.5308851394
448	0.6873730733	0.5308599108
449	0.6874342991	0.530833443
450	0.6874259973	0.5308081402
451	0.6875162793	0.5307645097
452	0.6875152416	0.5307477695
453	0.6875007134	0.5307173002
454	0.6876314667	0.5306728148
455	0.6876625984	0.530651896
456	0.6877165601	0.530611067
457	0.6877497673	0.5305733486
458	0.6877113715	0.5305377854
459	0.6877663709	0.5305155781
460	0.6877663709	0.5304963602
461	0.6878006158	0.530465497
462	0.6877425032	0.530431709
463	0.6877871254	0.5304074489
464	0.6878172194	0.5303767944
465	0.68773939	0.530336568
466	0.6877227865	0.5302864627
467	0.6876958056	0.5302600635
468	0.6877030697	0.530234499
469	0.6877352391	0.5302111406
470	0.6877559936	0.530182133
471	0.6878006158	0.5301527521
472	0.6878452379	0.5301312867
473	0.6878618415	0.5301045793
474	0.6878722188	0.5300793009
475	0.6878691056	0.5300490835
476	0.6878452379	0.5300198664
477	0.6878877846	0.5299799398
478	0.6879085391	0.5299529644
479	0.6879365577	0.5299294343
480	0.6879469349	0.5299049029
481	0.6879977834	0.5298753607
482	0.6880091984	0.5298388781
483	0.6880164625	0.5298227453
484	0.6880361792	0.529806843
485	0.6880891032	0.5297892851
486	0.6881191972	0.5297525666
487	0.6881503289	0.5297220238
488	0.6881586307	0.5296968004
489	0.688164857	0.5296652302
490	0.6881824984	0.5296420222
491	0.6881949511	0.5296071663
492	0.6882053283	0.529591464
493	0.6882374978	0.5295703401
494	0.6882426864	0.5295460011
495	0.6882385355	0.5295156106
496	0.6882748558	0.5294958721
497	0.6883163648	0.5294696253
498	0.6882997612	0.5294300377
499	0.6883246666	0.5294091444
